10	338.56	328.5	1618.11	1528.15
20	892.9	901.94	1481.9	1355.04
30	1330.63	1332.23	2279.8	1877.3
40	1542.8	1326.8	2213.4	2065.8
50	762 	748.3	1395.8	1154.2
60	877.2	863.5	1540.7	1340.1
70	837.8	803.7	2039.7	1659.9
80	160.8	173.1	986.1	535.15
90	522.9	520 	1028.2	802.68
100	98.8	90.3	57.9	59 
110	98.6	50.6	54.1	82 
120	716.8	626 	281.3	378.4
130	402.7	374.9	306 	238.9
140	614.5	608.1	470.8	358.46
150	738.8	727.6	459.9	451.45
160	794.9	804.1	534.8	521.55
170	843.3	810.1	529.1	509.65
180	918.1	853.4	519.5	453.4
190	888.3	925.2	496.3	491.4
200	486.1	523.4	375.4	385.4
210	54.3	24.39	4.9	201.95
