10	290.3	328.4	2048.7	1403 
20	702.2	785.8	2173.12	2400.1
30	858.6	853.8	2198.8	2035.1
40	1042.9	1009.6	2555.54	2389 
50	1418.9	1162 	2625.3	2874.1
60	1921.5	1896.9	3371.04	3099.5
70	1767.5	1792 	3062.6	2783.1
80	1795.9	1873 	3336.1	3005.6
90	1615.3	1593.07	1248.4	2356.94
100	1650.7	1712.74	2483.6	2517.8
110	1371.69	721.7	1360.7	1424.89
120	1929.48	131.9	365.2	38.62
130	1713.5	358 	815.32	183.3
140	843.9	50.3	863.09	6.3
150	714.4	631.6	1657.1	438.9
160	562.1	448.6	405.7	218.9
170	248.8	132.7	28.3	5 
180	391.5	350 	258.43	272.3
190	534.4	465 	273.67	274.8
200	277.4	270.6	144.6	178.8
210	618.2	590.7	315.13	325.4
220	666 	695.8	373.5	369.6
230	442.5	510.2	203.68	203.6
240	745.3	952.5	419.6	411.5
250	823.1	898.2	461.5	488.5
260	480.3	498.35	253.23	264.6
270	900.5	1031.5	419 	449.3
280	570.7	484.3	229.88	252.2
290	499.2	531.1	258.23	264.6
300	783.7	819.7	344.3	396.86
310	626.4	731.5	300.5	368.44
320	732.1	744.3	288.67	320.5
330	630 	771.5	336.3	462.2
340	815.3	857.8	361.5	428.6
350	772.8	853.2	305.2	426.9
360	711.5	817.8	274.2	298.3
370	410.7	508.6	202.12	230.8
380	792.6	893.7	331.8	339.7
390	717.7	780.7	288.97	312.6
400	525.3	535.9	174.4	178.2
410	90.4	279.6	79.21	96.4
420	219.3	515 	180.7	154.3
430	202.3	354.7	97.19	80.1
440	110 	270.2	35.7	27.9
450	130.43	515.15	268.29	33.9
