10	1092.7	954.2	0	1664.7
20	1795.4	1630.2	1248.4	2090.5
30	2037.1	1951.6	2136.5	2113.8
40	1857.1	1865 	2989.7	2281.8
50	1993.6	2022.4	2722.4	2154.5
60	1906.6	1961.3	2355.7	2673.4
70	1903.8	1936.4	2738.1	3019.6
80	1482.4	1908 	3054.6	2862.5
90	2031.9	2059.1	2902.3	2700.6
100	2217.5	2056.8	2797.3	3100.1
110	2113.5	2133.7	3093 	2759 
120	2148.6	2145.8	3104.8	2765 
130	2044.9	1998.8	3259.52	1913.4
140	2102.5	2184.9	2422.33	2093.9
150	2006.4	2087.1	2237.4	1946.1
160	1737.7	2115.2	2186.4	1935.6
170	2344.5	2117.4	2083 	2103.6
180	2120.7	2085.6	2082.7	2712.2
190	2148.8	2130.47	2731.9	2641.8
200	2136.1	2126.83	2673.4	2268.74
210	1983 	1983.9	2290.9	2732.44
220	2080.79	2187.3	3126.7	2747.4
230	1932.69	2008.6	3081.4	2524.39
240	1815.2	2035.8	2986 	2152.99
250	2065.4	1998.9	2370.8	2676.1
260	2108 	2059.7	2661.1	2076.7
270	1979.4	2009.3	2163.2	2995.4
280	1972.3	1989.4	1250.1	2287.5
290	2160.6	2191.8	2381.8	2013.8
300	1797.3	1860.5	2134.1	3085.8
310	1696 	2006.2	3059.9	3096.8
320	2274.3	2112 	3411.9	2696.78
330	2088.9	2025.1	3060 	2640.78
340	1941.5	1945.9	3035.6	2703.4
350	2070.8	2088.3	2952.2	2811.5
360	1870.5	1953.3	2853.8	1884.3
370	1911.3	2011.5	2127.1	2155.3
380	1921.1	1964.8	2230.4	2328.8
390	1997.5	2193.4	2412.5	1826.9
400	1952.1	1884.2	1872 	2649.6
410	1667.9	1461.4	2595.6	2770.5
420	1483.5	1448 	3071.5	2770.1
430	2002.1	1942.9	3068.9	2736.4
440	37.3	1930.2	3122.6	2483.7
450	0 	1727.27	2696.8	1622.64
460	0 	0	1534.88	0
470	8.2	0	0	0
