10	520.3	524.95	1422.3	672.03
20	1096.42	1070.91	1424.1	1364.9
30	1913.1	1806.1	2320.2	2231.12
40	1269.6	1316.9	1931 	1780 
50	1394.72	1120.9	2012.56	2012.6
60	1628.63	1211.6	2251.5	1972.8
70	1511 	1587.4	3484 	3221.62
80	2006.9	1916.3	2529 	2385.56
90	1947.8	1842.9	2454.8	2354.44
100	1654.6	1800.5	2597.7	2523.7
110	1294.6	1263 	2827.5	1891.1
120	636.5	140 	950.1	167.28
130	1136.9	87.6	33.3	38.7
140	199.4	0.8	20.6	5.4
150	420.86	22 	47.5	11.9
160	641.36	242.9	256.3	153.7
170	1606.1	653.9	579.1	362.66
180	515.1	210.9	161.1	25.4
190	1197.2	521.45	593.3	171.72
200	940 	591.26	305.2	155.3
210	1457.5	659.4	404.4	123.89
220	1310.3	999.1	413.1	325.2
230	803.3	518.59	191.2	121.8
240	192.5	194.13	66.9	48.7
250	1046.2	1069.7	350.5	369 
260	1083.3	970.7	319.4	345.67
270	463.7	591.4	201.8	176 
280	758.1	726.24	269.8	201.42
290	1193.3	1156.48	411.4	386.2
300	1152.1	810.8	273 	270.1
310	1129.1	866 	289.8	268.6
320	1595.6	797.5	240.84	210.18
330	1340.4	1148.4	223.05	243.34
340	1282.8	1142.8	312.4	324.73
350	1202 	1030.6	272.2	275 
360	642.7	730.8	171 	158.4
370	855.9	927.3	245.4	221.8
380	1405.56	1358.8	186.3	129.9
390	1576.66	858.7	277.2	191.6
400	1485.1	1114.6	383.1	213.1
410	198.58	81.93	55.18	5.18
