10	360.1	371.43	526.6	415.1
20	575.3	559.91	523.3	393.1
30	631.9	642.7	490.4	367.2
40	769.1	730.2	559.9	363.8
50	622.77	735.3	519.4	353.8
60	738.71	709.2	555.9	414.6
70	591 	622 	413.3	340.9
80	593.6	590.2	373.5	323 
90	689.1	687.6	468.5	372.2
100	841.5	755.02	569.9	454.8
110	674.5	629.66	400.1	396.1
120	684.7	696.9	523.2	506.5
130	234.7	399.2	321.2	402.5
140	728.9	621.2	574.8	492.6
150	731.9	596.8	710.46	579.9
160	510.6	387.9	490.2	337.3
170	48.7	25.4	46.2	37.5
180	222.8	195.6	672.5	431.8
190	932.4	392.66	1733 	643.2
200	442.3	191.32	674.7	159 
210	709.6	212.2	1306.5	236.4
220	1187 	290.3	1938.5	272 
230	1279.5	337 	2092.19	353 
240	705.6	233.4	1264.83	147.2
250	1076.8	187.3	2093.8	225.4
260	1232.75	340.2	2010 	353.8
270	1421.88	365.7	1890.3	236.9
280	174.8	29.5	453.2	19.4
290	239.7	15.4	313 	26.9
300	1308.6	247.8	1733 	167.1
310	1360.06	308.3	1899.01	151.3
320	1304.33	280.7	1935.19	97 
330	430.7	42.9	640.5	21.8
340	921.1	87.9	1564.4	79.5
350	1664.7	293.8	2127.4	166.1
360	1546.8	267.5	2132.2	125.9
370	604.9	21.4	839.9	6.8
380	1362.2	254.5	2129.4	124 
390	1514.4	337.5	1519.9	127.6
400	1783.4	335.5	1750.9	134.2
410	952.3	183.7	604.7	46.6
420	1252.4	235.7	747 	88.8
430	1829.8	342.9	633.4	98 
440	1325.4	26.07	0	6.24
450	1153.85	0.61	0	181.82
